index,type,source,sensor_id,board_time_us,timestamp_corrected_us,offset_us,drift_ppm,confidence,sync_state
0,SENSOR_EVENT,,camera_front_0,-3639,-3639.0,0.0,0.0,0.0,LOST
1,SENSOR_EVENT,,imu_vn100_0,-3468,-3468.0,0.0,0.0,0.0,LOST
2,SENSOR_EVENT,,imu_vn100_0,6515,6515.0,0.0,0.0,0.0,LOST
3,SENSOR_EVENT,,imu_vn100_0,16367,16367.0,0.0,0.0,0.0,LOST
4,SENSOR_EVENT,,imu_vn100_0,26569,26569.0,0.0,0.0,0.0,LOST
5,SENSOR_EVENT,,camera_front_0,29682,29682.0,0.0,0.0,0.0,LOST
6,SENSOR_EVENT,,imu_vn100_0,36541,36541.0,0.0,0.0,0.0,LOST
7,SENSOR_EVENT,,imu_vn100_0,46541,46541.0,0.0,0.0,0.0,LOST
8,SENSOR_EVENT,,imu_vn100_0,56365,56365.0,0.0,0.0,0.0,LOST
9,SENSOR_EVENT,,camera_front_0,63259,63259.0,0.0,0.0,0.0,LOST
10,SENSOR_EVENT,,imu_vn100_0,66361,66361.0,0.0,0.0,0.0,LOST
11,SENSOR_EVENT,,imu_vn100_0,76430,76430.0,0.0,0.0,0.0,LOST
12,SENSOR_EVENT,,imu_vn100_0,86464,86464.0,0.0,0.0,0.0,LOST
13,SENSOR_EVENT,,imu_vn100_0,96526,96526.0,0.0,0.0,0.0,LOST
14,SENSOR_EVENT,,camera_front_0,96568,96568.0,0.0,0.0,0.0,LOST
15,SENSOR_EVENT,,imu_vn100_0,106498,106498.0,0.0,0.0,0.0,LOST
16,SENSOR_EVENT,,imu_vn100_0,116543,116543.0,0.0,0.0,0.0,LOST
17,SENSOR_EVENT,,imu_vn100_0,126450,126450.0,0.0,0.0,0.0,LOST
18,SENSOR_EVENT,,camera_front_0,129843,129843.0,0.0,0.0,0.0,LOST
19,SENSOR_EVENT,,imu_vn100_0,136526,136526.0,0.0,0.0,0.0,LOST
20,SENSOR_EVENT,,imu_vn100_0,146533,146533.0,0.0,0.0,0.0,LOST
